PQDP11,Shoppings,Passiva,"3602,9","74,22","3217,36","2364,27",215618,658673000,"0,033",866650000,1,473,"48,4","96,0","2505,0","127321,0","24,67",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: ok | Vacancia: otima
RBRM11,Híbrido,Ativa,"163673,09","58969,76","160000,0","160000,0",0,86240000,"0,0",92231900,0,0,"0,0","0,0","0,0","0,0","35,0",Div Yield perigosamente alto | P/VPC otimo | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
RBRR11,Títulos e Val. Mob.,Ativa,"99,82","6,33","99,07","69,72",2063710,737648000,"0,0",776478000,0,0,"0,0","0,0","0,0","0,0","60,0",Div Yield ok | P/VPC otimo | Liquidez: ok | Ativos: ok | Vacancia: N/A
RECR11,Títulos e Val. Mob.,Ativa,"95,8","6,66","114,21","85,76",7806060,1511190000,"0,0",1376950000,0,0,"0,0","0,0","0,0","0,0","50,0",Div Yield ok | P/VPC horrivel | Liquidez: otima | Ativos: otimo | Vacancia: N/A
RECT11,Híbrido,Ativa,"95,98","8,75","95,05","68,91",3001860,598914000,"0,135",917846000,8,235,"124,8","970,0","8472,0","88248,0","48,65",Div Yield otimo | P/VPC horrivel | Liquidez: ok | Ativos: ok | Vacancia: ok
JRDM11,Shoppings,Passiva,"87,34","1,46","89,65","65,03",80857,171436000,"0,05",222256000,1,229,"96,6","252,0","5786,0","28620,0","14,5",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
SHDP11,Shoppings,Passiva,"1475,75","35,16","0,0","0,0",0,1738360000,"0,033",2131470000,1,473,"97,7","454,0","13345,0","127321,0","29,67",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: otimo | Vacancia: otima
SAIC11,Lajes Corporativas,Passiva,"55,06","0,0","59,99","32,33",18,50055200,"1,0",78964900,1,22,"93,7","0,0","4197,0","11179,0","0,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: muito alta
TBOF11,Lajes Corporativas,Passiva,"0,17","7,73","101,5","95,83",0,1020080000,"0,0",2035010,0,0,"0,0","0,0","0,0","0,0","20,0",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
ALMI11,Lajes Corporativas,Passiva,"2009,99","0,0","1800,0","1125,0",201112,144024000,"0,68",228483000,1,27,"95,0","269,0","8252,0","16588,0","8,2",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: muito alta
TRNT11,Lajes Corporativas,Passiva,"207,44","5,88","228,33","153,57",120622,631107000,"0,494",825225000,1,88,"97,8","625,0","9978,0","61855,0","20,06",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: ok | Vacancia: muito alta
VLOL11,Lajes Corporativas,Passiva,"96,89","5,3","108,25","80,76",160145,183016000,"0,11800000000000001",174175000,1,24,"99,2","1063,0","17505,0","10368,0","23,82",Div Yield muito baixo | P/VPC ok | Liquidez: muito baixa | Ativos: baixo | Vacancia: ok
OUFF11,Títulos e Val. Mob.,Ativa,"90,95","5,41","92,19","53,55",339454,153112000,"0,0",166502000,0,0,"0,0","0,0","0,0","0,0","35,0",Div Yield ok | P/VPC ok | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
