JBDU3,Outros,"1,85","4,87",11744500,17462500,73248,"-2,72","0,18","-3,23",N/A,"0,06","-0,36","-0,09","0,0","-4,8","-4,8",N/A,"-0,86","12,7",N/A,N/A,"0,0","-0,019","-0,019","-0,068",190691000,5719000,5718000,63719000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
JBDU4,Outros,"1,1","2,15",6273750,11991800,48825,"-1,45","0,1","-1,73",N/A,"0,03","-0,19","-0,05","0,0","-3,3","-3,3",N/A,"-0,86","12,7",N/A,N/A,"0,0","-0,019","-0,019","-0,068",190691000,5719000,5718000,63719000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
JBSS3,Carnes e Derivados,"16,52","27,81",69021000000,120486000000,377134000,"22,9","1,75","3,54","0,27","0,41","2,65","-1,16","0,021","4,5","6,19","0,094","1,15","15,04","0,17","0,077","0,013000000000000001","0,11699999999999999","0,16","0,076",166493000000,73797900000,51464800000,39446000000,"5,0",P/L Ok | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
JFEN3,Incorporações,"2,2","4,91",455533000,1031400000,0,"-0,95","-1,6","-2,26","2,26","0,35","-20,97","-0,78","0,0","-5,18","-5,12","-0,34299999999999997","-4,55","-2,7","-0,498","-1,0","-2,495","-0,155","-0,163","1,683",1304060000,585462000,575866000,-284194000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
JHSF3,Incorporações,"2,96","10,32",4692260000,5218170000,65003900,"7,29","1,25","7,31","4,01","0,64","6,0","-2,94","0,021","7,82","8,13","0,324","0,93","5,44","0,6920000000000001","0,5489999999999999","0,546","0,08800000000000001","0,105","0,172",7282040000,1567190000,525917000,3748750000,"30,0",P/L Otimo | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
JOPA3,Alimentos Diversos,"22,76","43,0",361058000,956350000,22275,"7,53","0,67","2,4","0,24","0,17","0,62","8,67","0,008","5,74","6,37","0,062","4,53","51,05","0,308","0,10099999999999999","0,037000000000000005","0,07200000000000001","0,095","0,08900000000000001",2099740000,1013700000,595292000,540231000,"20,0",P/L Otimo | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
JOPA4,Alimentos Diversos,"23,94","59,99",529100000,1124390000,645,"11,03","0,98","3,52","0,36","0,25","0,9","12,7","0,006","6,75","7,49","0,062","4,53","51,05","0,308","0,10099999999999999","0,037000000000000005","0,07200000000000001","0,095","0,08900000000000001",2099740000,1013700000,595292000,540231000,"20,0",P/L Bom | Divida Liq./Patrim Ruim | DY Ruim | P/VP Otimo
JPSA3,Exploração de Imóveis,"18,5","28,49",2162070000,4123170000,4481100,"28,26","1,34","7,36","3,2","0,31","2,04","-1,09","0,005","9,31","14,03","0,011000000000000001","0,87","18,39","0,593","0,434","0,26","0,042","0,055","0,047",7013830000,3574980000,1961100000,1616700000,"5,0",P/L Ok | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
JSLG3,Transporte Rodoviário,"3,33","11,27",2550720000,4432090000,4828660,"14,12","2,4","17,63","0,9","0,53","2,67","-1,36","0,011000000000000001","11,64","30,64","-0,135","0,64","3,8","0,107","0,051","0,046","0,03","0,036000000000000004","0,17",4838760000,2533980000,1881370000,1063320000,"10,0",P/L Bom | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
BBDC4,Bancos,"15,66","27,78",221933000000,N/A,1215530000,"13,41","1,54",N/A,N/A,N/A,N/A,N/A,"0,027000000000000003",N/A,N/A,"-0,09300000000000001","1,87","16,2",N/A,N/A,"0,0","0,0",N/A,"0,115",1372140000000,0,143703000000,N/A,"30,0",P/L Bom | Patrim. Liq. nao disponivel | DY Ruim | P/VP Ruim
