SHDP11,Shoppings,Passiva,"1479,89","34,19","0,0","0,0",0,1738360000,"0,033",2121620000,1,473,"97,5","454,0","13316,0","127321,0","29,67",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: otimo | Vacancia: otima
SAIC11,Lajes Corporativas,Passiva,"54,9","0,0","49,5","32,33",35,51542100,"1,0",78866900,1,22,"94,0","0,0","4334,0","11179,0","0,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: muito alta
TBOF11,Lajes Corporativas,Passiva,"0,16","6,94","0,0","0,0",0,1020080000,"0,0",1905130,0,0,"0,0","0,0","0,0","0,0","20,0",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
ALMI11,Lajes Corporativas,Passiva,"2063,27","0,0","1400,0","1080,0",119668,125596000,"0,68",234193000,1,27,"96,2","269,0","7281,0","16588,0","8,2",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: muito alta
TRNT11,Lajes Corporativas,Passiva,"207,4","5,78","198,55","145,1",115446,571050000,"0,494",826284000,1,88,"97,8","625,0","9030,0","61855,0","20,06",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: ok | Vacancia: muito alta
VLOL11,Lajes Corporativas,Passiva,"96,87","5,49","107,34","94,75",156146,181196000,"0,11800000000000001",174293000,1,24,"99,2","1063,0","17335,0","10368,0","33,82",Div Yield muito baixo | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: ok
OUFF11,Títulos e Val. Mob.,Ativa,"89,15","6,18","90,77","71,25",259667,150517000,"0,0",163177000,0,0,"0,0","0,0","0,0","0,0","35,0",Div Yield ok | P/VPC ok | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
WTSP11,Híbrido,Ativa,"79,74","1,82","62,21","45,14",30507,47553800,"0,081",83253700,1,11,"100,7","396,0","3897,0","12283,0","9,19",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: otima
VVPR11,Lajes Corporativas,Ativa,"100,22","6,38","101,03","87,26",99999,227557000,"0,0",234263000,5,5,"78,1","426,0","5368,0","33110,0","45,0",Div Yield ok | P/VPC otimo | Liquidez: muito baixa | Ativos: baixo | Vacancia: otima
LVBI11,Logística,Ativa,"110,3","5,55","126,3","104,89",3129470,1311870000,"0,009000000000000001",1442370000,6,6,"86,2","290,0","4702,0","240417,0","54,91",Div Yield muito baixo | P/VPC otimo | Liquidez: ok | Ativos: otimo | Vacancia: otima
