Data/hora da geração:,25/02/2021,09:08:36
Codigo Ativo,Tipo Provento,Data de Anuncio,Data de Pagamento,Valor
DMAC11,Rendimento,06/11/2020,16/11/2020,"1,85"
DMAC11,Rendimento,06/11/2020,16/11/2020,"40,12"
DMAC11,Rendimento,04/12/2020,15/12/2020,"1,48"
DMAC11,Rendimento,04/12/2020,15/12/2020,"23,77"
DMAC11,Rendimento,06/01/2021,15/01/2021,"49,5"
DMAC11,Rendimento,06/01/2021,15/01/2021,"1,37"
DMAC11,Rendimento,05/02/2021,18/02/2021,"0,93"
MGFF11,Rendimento,06/03/2020,17/03/2020,"0,7"
MGFF11,Rendimento,07/04/2020,17/04/2020,"0,6"
MGFF11,Rendimento,08/05/2020,19/05/2020,"0,6"
MGFF11,Rendimento,05/06/2020,17/06/2020,"0,6"
MGFF11,Rendimento,07/07/2020,16/07/2020,"0,62"
MGFF11,Rendimento,07/08/2020,14/08/2020,"0,56"
MGFF11,Rendimento,08/09/2020,17/09/2020,"0,5"
MGFF11,Rendimento,07/10/2020,19/10/2020,"0,5"
MGFF11,Rendimento,09/11/2020,18/11/2020,"0,5"
MGFF11,Rendimento,07/12/2020,16/12/2020,"0,5"
MGFF11,Rendimento,08/01/2021,19/01/2021,"0,6"
MGFF11,Rendimento,05/02/2021,18/02/2021,"0,65"
MALL11,Rendimento,28/02/2020,13/03/2020,"0,5"
MALL11,Rendimento,31/03/2020,15/04/2020,"0,4"
MALL11,Rendimento,30/04/2020,15/05/2020,"0,12"
MALL11,Rendimento,29/05/2020,12/06/2020,"0,11"
MALL11,Rendimento,30/06/2020,14/07/2020,"0,14"
MALL11,Rendimento,31/07/2020,14/08/2020,"0,15"
MALL11,Rendimento,31/08/2020,15/09/2020,"0,3"
MALL11,Rendimento,30/09/2020,15/10/2020,"0,35"
MALL11,Rendimento,30/10/2020,16/11/2020,"0,48"
MALL11,Rendimento,30/11/2020,14/12/2020,"0,58"
MALL11,Rendimento,30/12/2020,15/01/2021,"0,62"
MALL11,Rendimento,31/12/2021,12/02/2021,"0,62"
MALL11,Rendimento,29/01/2021,12/02/2021,"0,62"
BNFS11,Rendimento,28/02/2020,13/03/2020,"0,86"
BNFS11,Rendimento,31/03/2020,15/04/2020,"0,89"
BNFS11,Rendimento,30/04/2020,15/05/2020,"0,96"
BNFS11,Rendimento,29/05/2020,15/06/2020,"0,98"
BNFS11,Rendimento,30/06/2020,14/07/2020,"0,96"
BNFS11,Rendimento,31/07/2020,14/08/2020,"0,97"
BNFS11,Rendimento,31/08/2020,15/09/2020,"0,94"
BNFS11,Rendimento,30/09/2020,15/10/2020,"0,95"
BNFS11,Rendimento,30/10/2020,16/11/2020,"0,91"
BNFS11,Rendimento,30/11/2020,14/12/2020,"1,0"
BNFS11,Rendimento,30/12/2020,15/01/2021,"1,05"
BNFS11,Rendimento,29/01/2021,12/02/2021,"0,98"
BBFI11,Rendimento,28/02/2020,13/03/2020,"27,16"
BBFI11,Rendimento,31/03/2020,15/04/2020,"25,46"
BBFI11,Rendimento,30/04/2020,15/05/2020,"25,0"
BBFI11,Rendimento,29/05/2020,15/06/2020,"23,16"
BBFI11,Rendimento,30/06/2020,15/07/2020,"25,31"
BBFI11,Rendimento,31/07/2020,14/08/2020,"25,33"
BBFI11,Rendimento,31/08/2020,15/09/2020,"25,06"
BBFI11,Rendimento,30/09/2020,15/10/2020,"25,48"
BBFI11,Rendimento,30/10/2020,13/11/2020,"20,75"
BBFI11,Rendimento,30/11/2020,15/12/2020,"14,53"
BBFI11,Rendimento,30/12/2020,15/01/2021,"28,25"
BBFI11,Rendimento,29/01/2021,12/02/2021,"28,24"
OULG11,Rendimento,13/03/2020,20/03/2020,"0,6"
OULG11,Rendimento,15/04/2020,23/04/2020,"0,65"
OULG11,Rendimento,15/05/2020,22/05/2020,"0,66"
OULG11,Rendimento,15/06/2020,22/06/2020,"0,66"
OULG11,Rendimento,14/07/2020,21/07/2020,"0,68"
OULG11,Rendimento,14/08/2020,21/08/2020,"0,61"
OULG11,Rendimento,15/09/2020,22/09/2020,"0,61"
OULG11,Rendimento,15/10/2020,22/10/2020,"0,61"
OULG11,Rendimento,16/11/2020,23/11/2020,"0,61"
OULG11,Rendimento,14/12/2020,21/12/2020,"0,61"
OULG11,Rendimento,15/01/2021,22/01/2021,"0,57"
OULG11,Rendimento,12/02/2021,23/02/2021,"0,5"
BBFO11,Rendimento,29/01/2021,12/02/2021,"0,31"
BBPO11,Rendimento,28/02/2020,13/03/2020,"1,06"
BBPO11,Rendimento,31/03/2020,15/04/2020,"1,06"
BBPO11,Rendimento,30/04/2020,15/05/2020,"1,06"
BBPO11,Rendimento,29/05/2020,15/06/2020,"1,06"
BBPO11,Rendimento,30/06/2020,14/07/2020,"1,06"
BBPO11,Rendimento,31/07/2020,14/08/2020,"1,06"
BBPO11,Rendimento,31/08/2020,15/09/2020,"1,08"
BBPO11,Rendimento,30/09/2020,15/10/2020,"1,08"
BBPO11,Rendimento,30/10/2020,16/11/2020,"1,08"
BBPO11,Rendimento,30/11/2020,14/12/2020,"1,08"
BBPO11,Rendimento,30/12/2020,15/01/2021,"1,08"
BBPO11,Rendimento,29/01/2021,12/02/2021,"1,08"
MXRF11,Rendimento,28/02/2020,06/03/2020,"0,09"
MXRF11,Rendimento,31/03/2020,14/04/2020,"0,08"
MXRF11,Rendimento,30/04/2020,15/05/2020,"0,07"
MXRF11,Rendimento,29/05/2020,15/06/2020,"0,07"
MXRF11,Rendimento,30/06/2020,14/07/2020,"0,07"
MXRF11,Rendimento,31/07/2020,14/08/2020,"0,07"
MXRF11,Rendimento,31/08/2020,15/09/2020,"0,07"
MXRF11,Rendimento,30/09/2020,15/10/2020,"0,07"
MXRF11,Rendimento,30/10/2020,16/11/2020,"0,06"
MXRF11,Rendimento,30/11/2020,14/12/2020,"0,06"
MXRF11,Rendimento,30/12/2020,15/01/2021,"0,07"
MXRF11,Rendimento,29/01/2021,12/02/2021,"0,08"
FPNG11,Rendimento,05/03/2020,13/03/2020,"0,33"
FPNG11,Rendimento,06/04/2020,15/04/2020,"0,5"
FPNG11,Rendimento,07/05/2020,15/05/2020,"0,46"
FPNG11,Rendimento,04/06/2020,15/06/2020,"0,42"
FPNG11,Rendimento,06/07/2020,15/07/2020,"0,49"
FPNG11,Rendimento,06/08/2020,14/08/2020,"0,52"
FPNG11,Rendimento,04/09/2020,15/09/2020,"0,54"
FPNG11,Rendimento,06/10/2020,15/10/2020,"0,47"
FPNG11,Rendimento,06/11/2020,16/11/2020,"0,49"
FPNG11,Rendimento,04/12/2020,14/12/2020,"0,5"
FPNG11,Rendimento,07/01/2021,15/01/2021,"0,5"
FPNG11,Rendimento,04/02/2021,12/02/2021,"0,27"
MFII11,Rendimento,28/02/2020,13/03/2020,"1,02"
MFII11,Rendimento,31/03/2020,15/04/2020,"1,03"
MFII11,Rendimento,30/04/2020,15/05/2020,"1,03"
MFII11,Rendimento,29/05/2020,15/06/2020,"1,01"
MFII11,Rendimento,30/06/2020,14/07/2020,"0,95"
MFII11,Rendimento,31/07/2020,14/08/2020,"0,96"
MFII11,Rendimento,31/08/2020,15/09/2020,"0,98"
MFII11,Rendimento,30/09/2020,15/10/2020,"1,01"
MFII11,Rendimento,30/10/2020,16/11/2020,"1,1"
MFII11,Rendimento,30/11/2020,14/12/2020,"1,1"
MFII11,Rendimento,30/12/2020,15/01/2021,"1,04"
MFII11,Rendimento,29/01/2021,12/02/2021,"1,01"
BBIM11,Rendimento,28/02/2020,13/03/2020,"0,68"
BBIM11,Rendimento,31/03/2020,15/04/2020,"0,63"
BBIM11,Rendimento,30/04/2020,15/05/2020,"0,54"
BBIM11,Rendimento,29/05/2020,15/06/2020,"0,38"
BBIM11,Rendimento,30/06/2020,14/07/2020,"0,37"
BBIM11,Rendimento,31/07/2020,14/08/2020,"0,45"
BBIM11,Rendimento,31/08/2020,15/09/2020,"0,55"
BBIM11,Rendimento,31/08/2020,25/09/2020,"12,21"
BBIM11,Rendimento,30/09/2020,15/10/2020,"0,55"
BBIM11,Rendimento,30/10/2020,16/11/2020,"0,48"
BBIM11,Rendimento,30/11/2020,14/12/2020,"0,48"
BBIM11,Rendimento,30/12/2020,15/01/2021,"0,47"
BBIM11,Rendimento,29/01/2021,12/02/2021,"0,33"
MFAI11,Rendimento,30/06/2020,14/07/2020,"16,0"
MFAI11,Rendimento,31/07/2020,14/08/2020,"3,5"
MFAI11,Rendimento,31/08/2020,15/09/2020,"1,11"
MFAI11,Rendimento,30/09/2020,15/10/2020,"0,59"
MFAI11,Rendimento,30/10/2020,16/11/2020,"1,46"
MFAI11,Rendimento,30/11/2020,14/12/2020,"2,01"
MFAI11,Rendimento,30/12/2020,15/01/2021,"1,44"
MFAI11,Rendimento,29/01/2021,12/02/2021,"0,72"
BBRC11,Rendimento,28/02/2020,13/03/2020,"0,92"
BBRC11,Rendimento,31/03/2020,15/04/2020,"0,92"
BBRC11,Rendimento,30/04/2020,15/05/2020,"0,92"
BBRC11,Rendimento,29/05/2020,15/06/2020,"0,94"
BBRC11,Rendimento,30/06/2020,14/07/2020,"1,12"
BBRC11,Rendimento,31/07/2020,14/08/2020,"1,12"
BBRC11,Rendimento,31/08/2020,15/09/2020,"0,94"
BBRC11,Rendimento,30/09/2020,15/10/2020,"0,94"
BBRC11,Rendimento,30/10/2020,16/11/2020,"0,94"
BBRC11,Rendimento,30/11/2020,14/12/2020,"0,94"
BBRC11,Rendimento,30/12/2020,15/01/2021,"0,94"
BBRC11,Rendimento,29/01/2021,12/02/2021,"0,94"
VPSI11,Rendimento,03/03/2020,11/03/2020,"0,09"
VPSI11,Rendimento,02/04/2020,13/04/2020,"0,07"
VPSI11,Rendimento,02/09/2020,11/09/2020,"0,04"
VPSI11,Rendimento,02/10/2020,13/10/2020,"0,08"
VPSI11,Rendimento,04/11/2020,12/11/2020,"0,1"
VPSI11,Rendimento,02/12/2020,10/12/2020,"0,08"
VPSI11,Rendimento,05/01/2021,13/01/2021,"0,11"
VPSI11,Rendimento,02/02/2021,10/02/2021,"0,12"
RDPD11,Rendimento,28/02/2020,13/03/2020,"0,35"
RDPD11,Rendimento,31/03/2020,15/04/2020,"0,4"
RDPD11,Rendimento,30/04/2020,15/05/2020,"0,34"
RDPD11,Rendimento,29/05/2020,15/06/2020,"0,34"
RDPD11,Rendimento,30/06/2020,14/07/2020,"0,59"
RDPD11,Rendimento,31/07/2020,14/08/2020,"0,31"
RDPD11,Rendimento,31/08/2020,15/09/2020,"0,31"
RDPD11,Rendimento,30/09/2020,15/10/2020,"0,31"
RDPD11,Rendimento,30/10/2020,16/11/2020,"0,31"
